"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"115","Ewe Ag",4,2,0.00109298247599822,0.00109298247599822,9.30993440932965e-07,"Power"
"116","Extraction Oil & Gas Inc",2,1,3.9324539319823e-07,3.9324539319823e-07,5.42365061629173e-11,"Oil&Gas"
"117","Ferrari Nv",6,3,2.32041969106329e-05,4.45053111438574e-07,1.46643450913731e-08,"Automotive"
"118","Firstenergy Corp",2,1,0.00133872646742617,0.00133872646742617,0.00131067134891401,"Power"
"119","Florida Power & Light Co",7,3,0.00188305835119048,0.00204157742565041,0.00201165435186926,"Power"
"120","Frontera Energy Corp",2,1,8.72376819282577e-07,8.72376819282577e-07,1.20318436156619e-10,"Oil&Gas"
"121","Galp Energia Sgps Sa",2,1,0.000881787018732167,0.000881787018732167,1.13213769149308e-06,"Oil&Gas"
"122","Genneia Sa",2,1,1.14955873743853e-06,1.14955873743853e-06,1.58547437874985e-10,"Power"
"123","Georgia Power Co",2,1,0.000369536889251638,0.000369536889251638,0.000361792662574398,"Power"
"124","Gulf Power Co",2,1,4.44800554504761e-07,4.44800554504761e-07,4.35479059356542e-07,"Power"
"125","Haugaland Kraft As",2,1,0.0012112649929081,0.0012112649929081,1.40350267159228e-05,"Power"
"126","Hess Corp",2,1,0.000943168673648587,0.000943168673648587,0.000923403090790544,"Oil&Gas"
"127","Hidili Industry Intl Dev",2,1,1.73802255916699e-05,1.73802255916699e-05,2.23146951145566e-08,"Coal"
"128","Hollyfrontier Corp",4,2,0.000246077382039809,0.000245071346315663,0.000329863105039233,"Oil&Gas"
"129","Husky Energy Inc",2,1,0.000222945200866066,0.000222945200866066,0.000218273033560641,"Oil&Gas"
"130","Hydro-Quebec",2,1,0.000136072449628481,0.000136072449628481,0.000133220837448207,"Power"
"131","Indiana Michigan Power Co",2,1,0.000334687575376133,0.000334687575376133,0.000327673670877945,"Power"
"132","Inkia Energy Ltd",2,1,4.05213119092198e-07,4.05213119092198e-07,5.58870980081906e-11,"Power"
"133","Interstate Power & Light Co",2,1,0.000330435551484114,0.000330435551484114,0.000323510754833652,"Power"
"134","Ipalco Enterprises Inc",5,2,3.27422004735141e-06,1.19054033901752e-07,7.89021306085617e-06,"Power"
"135","Iren Spa",6,3,0.000168422619389048,5.26599425380645e-05,3.63054875789223e-06,"Power"
"136","Kentucky Utilities Co",2,1,0.000246315400246654,0.000246315400246654,0.000241153473659384,"Power"
"137","Korea National Oil Corp",2,1,0.0224634792036241,0.0224634792036241,3.84852101816314e-06,"Oil&Gas"
"138","Korea Resources Corp",2,1,0.000530870233219546,0.000530870233219546,6.81591118435508e-07,"Coal"
"139","Lyse As",3,1,0.0026856071731558,4.73917478028247e-05,4.66775007202496e-05,"Power"
"140","Marathon Oil Corp",4,2,0.000726053779316974,0.000722171022587853,0.00127251979358916,"Oil&Gas"
"141","Methanex Corp",2,1,0.000164909958591713,0.000164909958591713,0.000161454011058965,"Oil&Gas"
"142","Midamerican Energy Co",2,1,0.00151438800675488,0.00151438800675488,0.00148265162442684,"Power"
"143","Mississippi Power Co",2,1,0.000165218691322905,0.000165218691322905,0.000161756273810237,"Power"
"144","Murphy Oil Corp",6,3,0.000150083478636942,3.38111325121703e-06,5.73478956683409e-07,"Oil&Gas"
"145","National Grid Usa",2,1,8.98045110803585e-05,8.98045110803585e-05,8.79225163169846e-05,"Power"
"146","Noble Energy Inc",2,1,0.000838759492522368,0.000838759492522368,0.00082118196825697,"Oil&Gas"
"147","Northwestern Corp",2,1,0.000199835395364283,0.000199835395364283,0.000195647530377458,"Power"
"148","Nstar Electric Co",2,1,0.000261603330362876,0.000261603330362876,0.00025612102115701,"Power"
"149","Ntpc Ltd",6,3,4.64367722531853e-05,2.43893620834052e-05,3.00422708233833e-07,"Power"
"150","Oasis Petroleum Inc",2,1,1.63125398170009e-06,1.63125398170009e-06,2.24982970333645e-10,"Oil&Gas"
"151","Oglethorpe Power Corp",2,1,0.000376008993512703,0.000376008993512703,0.000368129133712128,"Power"
"152","Ohio Edison Co",2,1,8.72478156986712e-06,8.72478156986712e-06,8.54194005078821e-06,"Power"
"153","Pampa Energia Sa",2,1,7.28212441499266e-07,7.28212441499266e-07,1.00435247950581e-10,"Power"
"154","Petroleos De Venezuela Sa",6,3,5.77914096312303e-06,4.41164816939838e-06,1.08795705660931e-07,"Oil&Gas"
"155","Pnm Resources Inc",2,1,0.000108804389000223,0.000108804389000223,0.000106524221914326,"Power"
"156","Progress Energy Inc",2,1,0.000671498373198001,0.000671498373198001,0.000657426068736125,"Power"
"157","Pseg Power Llc",2,1,0.000456587513359487,0.000456587513359487,0.000447019003951363,"Power"
"158","Puget Energy Inc",6,3,0.00130731334538999,0.000727300114865732,0.000331691793265978,"Power"
"159","Puget Sound Energy Inc",2,1,0.000511413811905153,0.000511413811905153,0.000500696331186825,"Power"
"160","Range Resources Corp",2,1,4.09655959108588e-05,4.09655959108588e-05,5.25962553314079e-08,"Oil&Gas"
"161","Rochester Gas & Electric Corp",2,1,0.00124440527035758,0.00124440527035758,5.85646232585283e-07,"Power"
