"","investor_name","portofolio_name","portfolio_value_usd","alignment_neutral","alignment_only_brown","alignment_emission_based","alignment_electric","alignment_hybrid","alignment_ice","alignment_coalcap","alignment_gascap","alignment_hydrocap","alignment_nuclearcap","alignment_oilcap","alignment_renewablescap","alignment_freight","alignment_mix","alignment_other","alignment_passenger","alignment_gas","alignment_oil","alignment_coal","alignment_grinding","alignment_integrated facility","alignment_ac-electric arc furnace","alignment_bof shop","alignment_dc-electric arc furnace","alignment_open hearth meltshop","exposure_green","exposure_brown","ratio_green_greenbrown","exposure_electric","exposure_hybrid","exposure_ice","exposure_coalcap","exposure_gascap","exposure_hydrocap","exposure_nuclearcap","exposure_oilcap","exposure_renewablescap","exposure_freight","exposure_mix","exposure_other","exposure_passenger","exposure_gas","exposure_oil","exposure_coal","exposure_grinding","exposure_integrated facility","exposure_ac-electric arc furnace","exposure_bof shop","exposure_dc-electric arc furnace","exposure_open hearth meltshop","market_share_delta_automotive","market_share_delta_power","market_share_delta_aviation","market_share_delta_oil&gas","market_share_delta_coal","market_share_delta_cement","market_share_delta_steel"
"24","Platform Sample Portfolios","MSCI ACWI ETF",743618505.931696,-0.121703879443707,-0.108660836745716,-0.150886383717599,0.27348225894796,-0.639185430202978,-0.218551692704683,0.0661747735618061,0.0440990826840982,-0.095863405098531,-0.10721245714496,-0.157377369764219,-0.129593283005206,NA,NA,NA,NA,-0.00539823528868463,-0.164084213558011,-0.326936581751074,NA,NA,NA,NA,NA,NA,0.0153223676137368,0.0411873628159458,0.271145650443388,0.00146326537478318,0.000208925164502728,0.00704730864512609,0.0071748405188212,0.0114959807351707,0.00259500012437519,0.00322033015617568,0.00178982890402324,0.00849237757333703,NA,NA,NA,NA,0.0172865667153001,0.0251753847479752,0.00256279937673869,NA,NA,NA,NA,NA,NA,-1.9064960654805,-1.53276718407395,NA,-1.23532908887032,-0.575624131206439,NA,NA
"25","Platform Sample Portfolios","Platform Sample Portfolios",1625439470.87965,-0.165981168323392,-0.127388600755214,-0.170829851439427,-0.0819393216026412,-0.667686343736103,-0.267946905618038,0.0566192485578237,0.03649390346554,-0.0729396015730861,-0.180138659135864,-0.178549415374383,-0.150099946927159,NA,NA,NA,NA,-0.00596208638010005,-0.159687068640139,-0.319937822916555,NA,NA,NA,NA,NA,NA,0.00973211048250447,0.0256395221216783,0.275138854669479,0.000793391125803972,0.000210145681731004,0.00776120326472339,0.00424213308812146,0.00645157402282325,0.00262292978699231,0.00373201902103027,0.00118596081754367,0.00486292947544906,NA,NA,NA,NA,0.00818364974570461,0.0124502249512898,0.00124271441252812,NA,NA,NA,NA,NA,NA,-1.9064960654805,-1.53276718407395,NA,-1.23532908887032,-0.575624131206439,NA,NA
"26","R+V Luxembourg Lebensversicherung S.A.","Portfolio",329700.3099717,-0.188369161864724,-0.124450429189791,-0.192584994399666,-0.812419918319662,-0.37861510545095,-0.251614220926574,0.113966098948786,-0.0430904698567118,-0.0579977591405657,-0.0852602112267137,-0.20993832687806,-0.0157937259471787,NA,NA,NA,NA,0.0449680819831346,-0.168090167292228,-0.396544218269965,NA,NA,NA,NA,NA,NA,0.00617006349933612,0.0312380490380151,0.164939182461437,0.00035893307652733,0.000512403141303041,0.0066077822245262,0.00298487775269079,0.005673561167858,0.00112627824693396,0.000902862244060026,0.00149638248679893,0.00414733398773385,NA,NA,NA,NA,0.0108833562522705,0.0201490065739992,2.51150468379404e-05,NA,NA,NA,NA,NA,NA,-0.22928048677848,-0.1021424284739,NA,-0.304829037282654,-0.0830093837722739,NA,NA
"27","R+V Luxembourg Lebensversicherung S.A.","R+V Luxembourg Lebensversicherung S.A.",329700.3099717,-0.188369161864724,-0.124450429189791,-0.192584994399666,-0.812419918319662,-0.37861510545095,-0.251614220926574,0.113966098948786,-0.0430904698567118,-0.0579977591405657,-0.0852602112267137,-0.20993832687806,-0.0157937259471787,NA,NA,NA,NA,0.0449680819831346,-0.168090167292228,-0.396544218269965,NA,NA,NA,NA,NA,NA,0.00617006349933612,0.0312380490380151,0.164939182461437,0.00035893307652733,0.000512403141303041,0.0066077822245262,0.00298487775269079,0.005673561167858,0.00112627824693396,0.000902862244060026,0.00149638248679893,0.00414733398773385,NA,NA,NA,NA,0.0108833562522705,0.0201490065739992,2.51150468379404e-05,NA,NA,NA,NA,NA,NA,-0.22928048677848,-0.1021424284739,NA,-0.304829037282654,-0.0830093837722739,NA,NA
"28","SG LIFE","Portefeuille SG life",232479398.126639,-0.15338859423072,-0.142822766366061,-0.156364677659134,0.253299851885377,-0.771837077503245,-0.273973904586522,0.115907824106256,-0.0053562889816472,-0.0536901747399094,-0.284775727335199,-0.204577766383035,-0.125853599482376,NA,NA,NA,NA,-0.000927683133854929,-0.155955217466163,-0.33292336714832,NA,NA,NA,NA,NA,NA,0.00836709321083653,0.0434985425451454,0.161322484317017,0.00041304257411223,0.000489583841215973,0.019279579981393,0.00194438182199141,0.00461907722727521,0.00261175593472284,0.00318489821364478,0.00126264922069003,0.0047742414267299,NA,NA,NA,NA,0.0148614676142938,0.021011931521071,7.84694340555866e-05,NA,NA,NA,NA,NA,NA,-0.906760850590994,-0.474504549314537,NA,-0.41598438364892,-0.122014731109052,NA,NA
"29","SG LIFE","SG LIFE",232479398.126639,-0.15338859423072,-0.142822766366061,-0.156364677659134,0.253299851885377,-0.771837077503245,-0.273973904586522,0.115907824106256,-0.0053562889816472,-0.0536901747399094,-0.284775727335199,-0.204577766383035,-0.125853599482376,NA,NA,NA,NA,-0.000927683133854929,-0.155955217466163,-0.33292336714832,NA,NA,NA,NA,NA,NA,0.00836709321083653,0.0434985425451454,0.161322484317017,0.00041304257411223,0.000489583841215973,0.019279579981393,0.00194438182199141,0.00461907722727521,0.00261175593472284,0.00318489821364478,0.00126264922069003,0.0047742414267299,NA,NA,NA,NA,0.0148614676142938,0.021011931521071,7.84694340555866e-05,NA,NA,NA,NA,NA,NA,-0.906760850590994,-0.474504549314537,NA,-0.41598438364892,-0.122014731109052,NA,NA
"30","SURASSUR","SURASSUR",3495011.81922787,-0.0442233618324467,-0.0538641067812489,-0.0107078697574653,0.511760374559913,-0.616092651153214,-0.159535980300953,0.131748279892378,-0.0419134920158511,-0.0280002995265571,-0.0759569701613652,-0.208807680189025,0.0325650883804892,NA,NA,NA,NA,0.0357861249278175,-0.112233136402993,0,NA,NA,NA,NA,NA,NA,0.0442120724465266,0.100353465771048,0.305827190848116,0.00053298920580911,0.00204414502711109,0.040485990349646,0.0045958577587415,0.0310397798261978,0.0140525634381442,0.00281969894256203,0.00996573047530722,0.0275823747754622,NA,NA,NA,NA,0.0314717210922453,0.0453058871873529,0,NA,NA,NA,NA,NA,NA,-0.203908288848854,-0.05909615248638,NA,-0.0561620169871546,0,NA,NA
"31","SURASSUR","SURASSUR PORTEFEUILLE BCEE",3495011.81922787,-0.0442233618324467,-0.0538641067812489,-0.0107078697574653,0.511760374559913,-0.616092651153214,-0.159535980300953,0.131748279892378,-0.0419134920158511,-0.0280002995265571,-0.0759569701613652,-0.208807680189025,0.0325650883804892,NA,NA,NA,NA,0.0357861249278175,-0.112233136402993,0,NA,NA,NA,NA,NA,NA,0.0442120724465266,0.100353465771048,0.305827190848116,0.00053298920580911,0.00204414502711109,0.040485990349646,0.0045958577587415,0.0310397798261978,0.0140525634381442,0.00281969894256203,0.00996573047530722,0.0275823747754622,NA,NA,NA,NA,0.0314717210922453,0.0453058871873529,0,NA,NA,NA,NA,NA,NA,-0.203908288848854,-0.05909615248638,NA,-0.0561620169871546,0,NA,NA
"32","Swiss Life Luxembourg","Merged Portfolios",1456628475.60497,-0.127067509536994,-0.145864199901778,-0.154616235296397,0.358734318755647,-0.716482790047603,-0.204578595780498,0.0860574132956437,-0.0412602260901111,-0.0473324163111463,-0.199595747633255,-0.209502501506711,0.0471843723733966,NA,NA,NA,NA,-0.0156812836441884,-0.185909091208972,-0.39644356664613,NA,NA,NA,NA,NA,NA,0.049050511055768,0.0144803385941224,0.772073903089262,0.000111089351041957,0.000103555540864816,0.00318367173221369,0.000510357571292343,0.00194880653052279,0.00113406610820053,0.000341822738772163,0.000590213300241168,0.00240252918294474,NA,NA,NA,NA,0.00785714039911982,0.0101960959903752,0.0452992708727159,NA,NA,NA,NA,NA,NA,-0.581669926604212,-0.204054399662644,NA,-0.45802986876496,-0.122014731109052,NA,NA
"33","Swiss Life Luxembourg","Swiss Life Luxembourg",1456628475.60497,-0.127067509536994,-0.145864199901778,-0.154616235296397,0.358734318755647,-0.716482790047603,-0.204578595780498,0.0860574132956437,-0.0412602260901111,-0.0473324163111463,-0.199595747633255,-0.209502501506711,0.0471843723733966,NA,NA,NA,NA,-0.0156812836441884,-0.185909091208972,-0.39644356664613,NA,NA,NA,NA,NA,NA,0.049050511055768,0.0144803385941224,0.772073903089262,0.000111089351041957,0.000103555540864816,0.00318367173221369,0.000510357571292343,0.00194880653052279,0.00113406610820053,0.000341822738772163,0.000590213300241168,0.00240252918294474,NA,NA,NA,NA,0.00785714039911982,0.0101960959903752,0.0452992708727159,NA,NA,NA,NA,NA,NA,-0.581669926604212,-0.204054399662644,NA,-0.45802986876496,-0.122014731109052,NA,NA
