"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"84","Bp Plc",11,5,0.00089228016950738,0.000420572841937141,0.000630200386365046,"Oil&Gas"
"85","Continental Resources Inc/Ok",4,2,7.96353069898e-05,9.18071577615849e-05,1.80875136304729e-05,"Oil&Gas"
"86","Encana Corp",4,2,4.2805093501692e-05,2.66447145861889e-05,1.26106747886306e-05,"Oil&Gas"
"87","Etablissements Maurel Et Prom",6,3,0.000145910734840892,5.15353142370634e-05,2.17858677980346e-05,"Oil&Gas"
"88","Fortis Inc/Canada",4,2,0.000137035586876222,9.25366558128198e-05,3.81918968983075e-05,"Power"
"89","Geely Automobile Holdings Ltd",6,3,7.30109120408924e-05,6.78902244906542e-05,1.28679007775056e-05,"Automotive"
"90","Hera Spa",6,3,4.44873144127528e-05,3.89964354392934e-05,1.04497952840152e-05,"Power"
"91","Orsted A/S",9,4,9.65283077718722e-05,3.26857020535592e-05,6.65835621552122e-05,"Power"
"92","Premier Oil Plc",4,2,0.000109866629400225,0.000109866629400225,1.97338082417961e-05,"Oil&Gas"
"93","Rockhopper Exploration Plc",2,1,1.96052464382099e-06,1.96052464382099e-06,NA,"Oil&Gas"
"94","Suncor Energy Inc",10,5,0.00108361144828964,7.11746754849118e-05,0.000139520601015125,"Oil&Gas"
"95","Tesla Inc",8,4,0.000298062194795577,0.000107351871792766,0.000180557619988248,"Automotive"
"96","Tullow Oil Plc",6,3,3.60357422100845e-05,2.18567572291954e-05,1.38782064294839e-05,"Oil&Gas"
"97","Acea Spa",2,1,3.55082713336437e-05,3.55082713336437e-05,5.93813086910352e-06,"Power"
"98","Adaro Energy Tbk Pt",4,2,5.04500419618686e-05,3.54103271678433e-05,1.40419366358275e-05,"Coal"
"99","Aes Gener Sa",2,1,1.77336881257161e-05,1.77336881257161e-05,2.95886180147138e-06,"Power"
"100","Agl Energy Ltd",2,1,0.000116703127514898,0.000116703127514898,1.7882964103832e-05,"Power"
"101","Algonquin Power & Utilities Corp",4,2,0.000194198578692637,0.000113485191173426,5.93150788742209e-05,"Power"
"102","Bharat Petroleum Corp Ltd",4,2,3.35112100950861e-05,3.59852873628964e-05,3.02949493231183e-06,"Oil&Gas"
"103","Bkw Ag",4,2,2.39452246568981e-05,2.39452246568981e-05,2.06704728818705e-05,"Power"
"104","Byd Co Ltd",8,4,0.000132282713468663,4.79219193134243e-05,2.77169001631034e-05,"Automotive"
"105","Canadian Natural Resources Ltd",6,3,0.000833584834439596,0.000521582967861769,7.99995484407833e-05,"Oil&Gas"
"106","Canadian Utilities Ltd",2,1,0.000254013116409422,0.000254013116409422,3.88813003288083e-05,"Power"
"107","Cenovus Energy Inc",2,1,0.000191781286934785,0.000191781286934785,2.93672897471498e-05,"Oil&Gas"
"108","Cesc Ltd",2,1,8.88938217914803e-05,8.88938217914803e-05,1.4831913802758e-05,"Power"
"109","Cez As",6,3,5.38283168346736e-05,5.32888282610421e-05,1.54095875509149e-05,"Power"
"110","China Longyuan Power Group Corp Ltd",4,2,0.000118167815700618,8.10789502043821e-05,3.44500467524977e-05,"Power"
"111","China National Nuclear Power C",2,1,1.55652942355691e-05,1.55652942355691e-05,2.38215315047056e-06,"Power"
"112","China Power International Deve",4,2,0.000108226885645043,7.03437203939772e-05,3.483189114778e-05,"Power"
"113","China Resources Power Holdings",4,2,3.35416782640003e-05,3.59734456948079e-05,2.57658068363863e-06,"Power"
"114","China Shenhua Energy Co Ltd",4,2,7.5792350789738e-05,8.50075856295432e-05,8.29948260184919e-06,"Coal"
"115","China Yangtze Power Co Ltd",6,2,0.00260601114863116,0.000189919037431858,0.000475901442858906,"Power"
"116","Chongqing Changan Automobile C",2,1,7.36554434034968e-06,7.36554434034968e-06,1.12724208034562e-06,"Automotive"
"117","Chubu Electric Power Co Inc",5,2,3.06726034866311e-05,4.25054510444687e-06,1.22270115477593e-05,"Power"
"118","Chugoku Electric Power Co Inc/",5,2,1.64515047455059e-05,4.88461269373471e-06,6.58512997409148e-06,"Power"
"119","Cia Energetica De Minas Gerais",4,2,5.27937007416014e-05,4.09547301181913e-05,1.1426855945467e-05,"Power"
"120","Cia Paranaense De Energia",2,1,6.24345322744121e-05,6.24345322744121e-05,1.04171874079369e-05,"Power"
"121","Citic Ltd",5,2,6.84098350955371e-05,3.67233801972614e-05,8.89985746689484e-06,"Power"
"122","Clp Holdings Ltd",5,2,0.000282815422865595,8.16632187980451e-05,0.000117029158356566,"Power"
"123","Colbun Sa",4,2,3.70310787702134e-05,2.75991300074521e-05,8.9600954685789e-06,"Power"
"124","Cpfl Energia Sa",2,1,3.65858604930346e-05,3.65858604930346e-05,6.10434244243988e-06,"Power"
"125","Crescent Point Energy Corp",2,1,9.56718731616264e-06,9.56718731616264e-06,4.23053156559815e-06,"Oil&Gas"
"126","Dialog Group Bhd",4,2,4.65718315882462e-05,3.56473578098102e-05,1.04830072433204e-05,"Oil&Gas"
"127","Dongfeng Motor Group Co Ltd",4,2,3.06940892920422e-05,3.49351527583309e-05,4.42968779085475e-06,"Automotive"
"128","Drax Group Plc",4,2,2.13660789005723e-05,1.44005797433061e-05,6.55306633560867e-06,"Power"
"129","Echo Energy Plc",2,1,6.40692213586131e-06,6.40692213586131e-06,2.83308828795488e-06,"Oil&Gas"
"130","Edp - Energias Do Brasil Sa",2,1,9.17444495205546e-05,9.17444495205546e-05,1.5307540386353e-05,"Power"
"131","Edp Renovaveis Sa",2,1,0.000187152962573922,0.000187152962573922,3.12264289338187e-05,"Power"
"132","Enauta Participacoes Sa",2,1,6.16216136554495e-05,6.16216136554495e-05,1.02815521225805e-05,"Oil&Gas"
"133","Enea Sa",2,1,2.94712638043672e-05,2.94712638043672e-05,4.91727361469581e-06,"Power"
"134","Enel Americas Sa",4,2,7.65001393450681e-05,6.87735364764594e-05,1.50346161479805e-05,"Power"
"135","Enel Chile Sa",4,2,4.82342025076263e-05,4.00766651409585e-05,9.98084588595675e-06,"Power"
"136","Enel Russia Pjsc",2,1,3.07299044456877e-05,3.07299044456877e-05,5.12727751737989e-06,"Power"
"137","Energa Sa",2,1,2.96476166872432e-05,2.96476166872432e-05,4.94669805280603e-06,"Power"
"138","Enerjisa Enerji As",2,1,1.77511887584885e-05,1.77511887584885e-05,2.96178177804053e-06,"Power"
"139","Equatorial Energia Sa",4,2,3.3964718992554e-05,3.83157623775244e-05,4.61518647644589e-06,"Power"
"140","Gazprom Pjsc",7,3,6.41811327194047e-05,2.16889072100167e-05,1.01421066435137e-05,"Oil&Gas"
"141","Gd Power Development Co Ltd",2,1,1.4304171720266e-05,1.4304171720266e-05,2.18914767768654e-06,"Power"
"142","Genel Energy Plc",2,1,9.14137377528683e-05,9.14137377528683e-05,1.52523612036716e-05,"Oil&Gas"
"143","Gran Tierra Energy Inc",2,1,0.000389127462076919,0.000389127462076919,1.4824697149449e-05,"Oil&Gas"
"144","Great Wall Motor Co Ltd",4,2,0.000278304923154948,0.000181725037308746,8.8869127503218e-05,"Automotive"
"145","Grupa Lotos Sa",4,2,3.07523855571889e-05,2.6717776760639e-05,6.18546670966328e-06,"Oil&Gas"
"146","Guangzhou Automobile Group Co",4,2,2.50062671672282e-05,2.63551312824434e-05,1.61188136564355e-06,"Automotive"
"147","Honda Motor Co Ltd",5,2,3.7666996467633e-05,2.0879754179214e-05,1.29117472787988e-05,"Automotive"
"148","Huadian Power International Co",4,2,9.78493900621069e-06,8.41115194316412e-06,1.82778825344967e-06,"Power"
"149","Huaneng Power International In",7,3,3.35668806671077e-05,3.66132496349497e-05,8.84794172914794e-06,"Power"
"150","Huaneng Renewables Corp Ltd",4,2,2.51587431757018e-05,1.85189253969416e-05,6.28781714097332e-06,"Power"
"151","Hyundai Motor Co",4,2,0.000624932849592519,0.000443894878707284,0.000169619933957415,"Automotive"
"152","Idemitsu Kosan Co Ltd",5,2,0.000423035971672837,2.34228751440477e-06,0.000176139915334713,"Oil&Gas"
"153","Infraestructura Energetica Nov",4,2,3.08048514855666e-05,2.91916449792167e-05,5.82551692380633e-06,"Power"
"154","Inpex Corp",5,2,2.50300782085886e-05,4.44463599562081e-06,9.83447639375938e-06,"Oil&Gas"
"155","Inter Rao Ues Pjsc",4,2,0.000103757596303834,7.05653149419856e-05,3.07737493255741e-05,"Power"
"156","Iren Spa",4,2,0.000263779374522667,0.000171470759529028,8.53670980574314e-05,"Power"
"157","Isuzu Motors Ltd",5,2,1.85614745297083e-05,3.85385387067461e-06,7.22448634798051e-06,"Automotive"
"158","Jxtg Holdings Inc",5,2,2.149428397294e-05,8.26913955602277e-06,7.86067758305914e-06,"Oil&Gas"
"159","Kansai Electric Power Co Inc/T",5,2,0.000682495310022327,5.15235000302666e-06,0.000283998234808069,"Power"
"160","Kia Motors Corp",4,2,7.23269982594185e-05,7.87137461190345e-05,7.47411989121878e-06,"Automotive"
"161","Korea Electric Power Corp",2,1,0.000105386786111409,0.000105386786111409,1.51756946280884e-06,"Power"
"162","Kuzbasskaya Toplivnaya Kompani",2,1,0.000130092466160138,0.000130092466160138,2.17058981781827e-05,"Coal"
"163","Kyushu Electric Power Co Inc",5,2,1.30049479172524e-05,2.21678835403367e-06,5.12301148483718e-06,"Power"
"164","Lukoil Pjsc",5,2,0.000110589344073886,3.88036223109986e-05,9.1297170150111e-06,"Oil&Gas"
"165","Lundin Petroleum Ab",5,2,4.65707217571406e-05,5.34328432015817e-05,3.58176398167956e-05,"Oil&Gas"
"166","Mahindra & Mahindra Ltd",2,1,0.000118745674491729,0.000118745674491729,1.71023231280746e-06,"Automotive"
"167","Malakoff Corp Bhd",2,1,2.96157712145428e-05,2.96157712145428e-05,4.9413846429809e-06,"Power"
"168","Maruti Suzuki India Ltd",4,2,7.98468125118138e-05,8.05460375030342e-05,2.86473489379281e-06,"Automotive"
"169","Mazda Motor Corp",4,2,0.000379291440448735,0.000241823122507116,0.000126265740722405,"Automotive"
"170","Meridian Energy Ltd",2,1,7.1752310478045e-05,7.1752310478045e-05,1.19791647497952e-05,"Power"
"171","Mitsubishi Motors Corp",5,2,2.39334207534521e-05,1.83984055107055e-06,9.73367620956238e-06,"Automotive"
"172","Mol Hungarian Oil & Gas Plc",4,2,0.000263424501532226,0.000177399278364546,7.9600470126647e-05,"Oil&Gas"
