"","investor_name","portofolio_name","portfolio_value_usd","alignment_neutral","alignment_only_brown","alignment_emission_based","alignment_electric","alignment_hybrid","alignment_ice","alignment_grinding","alignment_integrated facility","alignment_coalcap","alignment_gascap","alignment_hydrocap","alignment_nuclearcap","alignment_oilcap","alignment_renewablescap","alignment_ac-electric arc furnace","alignment_bof shop","alignment_dc-electric arc furnace","alignment_open hearth meltshop","alignment_freight","alignment_mix","alignment_other","alignment_passenger","alignment_gas","alignment_oil","alignment_coal","exposure_green","exposure_brown","ratio_green_greenbrown","exposure_electric","exposure_hybrid","exposure_ice","exposure_grinding","exposure_integrated facility","exposure_coalcap","exposure_gascap","exposure_hydrocap","exposure_nuclearcap","exposure_oilcap","exposure_renewablescap","exposure_ac-electric arc furnace","exposure_bof shop","exposure_dc-electric arc furnace","exposure_open hearth meltshop","exposure_freight","exposure_mix","exposure_other","exposure_passenger","exposure_gas","exposure_oil","exposure_coal"
"23","KBC Group Re","Bonds",76253529.7012355,-0.0140901610611482,-0.0496073817821115,0.00833952035330695,0.862008271171826,-0.287374470697737,-0.179993589423205,NA,NA,0.491689412074561,-0.0907028824976413,-0.0705535749510332,-0.258210437767534,-0.210819411296738,-0.382854766162832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183629004173592,0.0390725368941679,0.319713773880743,0.000311728350465915,0.00205494177823433,0.0270115099488171,NA,NA,0.00801427880886267,0.0136122681452172,0.00979675098882495,0.0205666779224117,0.00404674813648812,0.00619947929983401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","KBC Group Re","KBC Group Re",76253529.7012355,-0.0140901610611482,-0.0496073817821115,0.00833952035330695,0.862008271171826,-0.287374470697737,-0.179993589423205,NA,NA,0.491689412074561,-0.0907028824976413,-0.0705535749510332,-0.258210437767534,-0.210819411296738,-0.382854766162832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183629004173592,0.0390725368941679,0.319713773880743,0.000311728350465915,0.00205494177823433,0.0270115099488171,NA,NA,0.00801427880886267,0.0136122681452172,0.00979675098882495,0.0205666779224117,0.00404674813648812,0.00619947929983401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","La Luxembourgeoise-Vie S.A. dAssurances","La Luxembourgeoise-Vie S.A. dAssurances",731008968.471797,-0.0225510292923798,-0.048287385271343,-0.0503307455808642,0.862008271171827,-0.287374470697737,-0.179993589423205,NA,NA,0.404159008982158,-0.028951584933217,-0.0707483928421044,-0.258201770626642,-0.223925878628056,-0.413935032948762,NA,NA,NA,NA,NA,NA,NA,NA,0.149489774405034,-0.200587656675472,NA,0.00684809306724537,0.0267917341961052,0.203570993799547,0.000127273153260067,0.000838996259053219,0.0110283201395169,NA,NA,0.00399155796304629,0.002295470434009,0.00273928977527075,0.010300262330542,0.000507212160675401,0.00314253387966133,NA,NA,NA,NA,NA,NA,NA,NA,0.0113115007602352,0.0112646439328666,NA
"26","La Luxembourgeoise-Vie S.A. dAssurances","RT-LV",672519758.750841,-0.0225510292923797,-0.048287385271343,-0.0503307455808642,0.862008271171827,-0.287374470697737,-0.179993589423205,NA,NA,0.404159008982158,-0.028951584933217,-0.0707483928421044,-0.258201770626642,-0.223925878628056,-0.413935032948762,NA,NA,NA,NA,NA,NA,NA,NA,0.149489774405034,-0.200587656675472,NA,0.00744367341471756,0.0291218179442686,0.203570993799547,0.000138342130871524,0.000911963971172205,0.0119874558691617,NA,NA,0.00433870474613502,0.00249510806528453,0.00297752648440459,0.0111960786925043,0.000551324527714053,0.00341584082826924,NA,NA,NA,NA,NA,NA,NA,NA,0.0122952647784895,0.0122443328012578,NA
"27","La Luxembourgeoise S.A. dAssurances","La Luxembourgeoise S.A. dAssurances",281231295.363488,0.131546737016961,-0.179993589423205,0.264679207390071,0.862008271171826,-0.287374470697737,-0.179993589423205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000669708335256726,0.00764358037954686,0.0805587726147617,8.82113109516898e-05,0.000581497024305037,0.00764358037954686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","La Luxembourgeoise S.A. dAssurances","RT-LN",281231295.363488,0.131546737016961,-0.179993589423205,0.264679207390071,0.862008271171826,-0.287374470697737,-0.179993589423205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000669708335256726,0.00764358037954686,0.0805587726147617,8.82113109516898e-05,0.000581497024305037,0.00764358037954686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","La Mondiale","La Mondiale",516041011.394065,-0.200399673430474,-0.0951499887342937,-0.126602304563973,-0.175130310094797,-0.891553053070404,-0.494716968453879,NA,NA,0.271089299159049,0.0578790716520931,-0.0759527497749445,-0.263272481273982,-0.223238559413714,-0.39571037365501,NA,NA,NA,NA,NA,NA,NA,NA,0.088878836452273,-0.102669119261896,NA,0.00557298927575898,0.0229872101571564,0.19513131513137,0.000190416485500265,6.59619163791438e-05,0.0103488322287979,NA,NA,0.00339735378621075,0.00497502931030732,0.00284988374532442,0.00406331544002069,0.000295135033472107,0.00246672712855516,NA,NA,NA,NA,NA,NA,NA,NA,0.00679835760251423,0.00894588910867563,NA
"30","La Mondiale","Portfolio",516041011.394065,-0.200399673430474,-0.0951499887342937,-0.126602304563973,-0.175130310094797,-0.891553053070404,-0.494716968453879,NA,NA,0.271089299159049,0.0578790716520931,-0.0759527497749445,-0.263272481273982,-0.223238559413714,-0.39571037365501,NA,NA,NA,NA,NA,NA,NA,NA,0.088878836452273,-0.102669119261896,NA,0.00557298927575898,0.0229872101571564,0.19513131513137,0.000190416485500265,6.59619163791438e-05,0.0103488322287979,NA,NA,0.00339735378621075,0.00497502931030732,0.00284988374532442,0.00406331544002069,0.000295135033472107,0.00246672712855516,NA,NA,NA,NA,NA,NA,NA,NA,0.00679835760251423,0.00894588910867563,NA
"31","Lalux Group Re S.A. de Reassurance","Lalux Group Re S.A. de Reassurance",45298884.8743998,-0.584689324120181,-0.514840434222811,-0.487824327884395,-0.283844585620253,-0.955382952517479,-0.514840434222811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00199031636213206,0.0777003499085147,0.0249755266868082,0.00180643924160273,0.000183877120529329,0.0777003499085147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lalux Group Re S.A. de Reassurance","R-GR",45298884.8743998,-0.584689324120181,-0.514840434222811,-0.487824327884395,-0.283844585620253,-0.955382952517479,-0.514840434222811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00199031636213206,0.0777003499085147,0.0249755266868082,0.00180643924160273,0.000183877120529329,0.0777003499085147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
